id,3,4
128hTBTSI1wy,1,1
17fOZlo7RAOi,1,1
1FN7SXlJV7og,1,1
1X6HC3SgBHu9,1,1
1Z1nsYMaZnyI,1,1
2BBn7dNwBEvm,1,1
2iyiEwK3e62I,1,1
2kNNYSMAAkyn,1,1
2uAysoGBPttN,1,1
38wxOr6rEYEB,1,1
3JxitHdmZoe9,1,1
3vA3Md5jX1Wu,1,1
4Cml7rDW1lfL,1,1
4XkC1pmmC3da,1,1
5ULVbkDePED0,1,1
5XxU8mPcnEr3,1,1
5k8PFnNdSNnG,1,1
5qOQ6xzoJiVO,1,1
6Nd5secwPVwW,1,1
6S0codGEuLIM,1,1
6bs84OdDTx0j,1,1
6cqLuaRnYhpe,1,1
6je4lQ26ZknY,1,1
6nxk52EFbz6m,1,1
76cA3SFUDohP,1,1
8FXEYFmYM5oK,1,1
8IAdujTsj7C2,1,1
8aQH6oS6geIb,1,1
8bUyqCw0QG0y,1,1
96lfhD26zvy1,1,1
9DGTT79iKFAJ,1,1
9JzwCi2GvQJH,1,1
9YftZQKjcC83,1,1
9wyZV50dyY46,1,1
9ywtqejAorYI,1,1
A4mRTlL0CrDq,1,1
A5hRVXUj3Y35,1,1
AgDOXqaNL9CL,1,1
AxM10OlK6uFG,1,1
B5mQR9dzQVGn,1,1
BNsYMk3ZNz4A,1,1
BpfsgHBfObeI,1,1
BzUfogf0hckC,1,1
C4Pm1PttgcXq,1,1
CJD7oNJdubcM,1,1
CTJKDiJblSnU,1,1
Clw8NoDdtDSe,1,1
CobYolFPgEDT,1,1
CwlYQFXc56FG,1,1
DOrvp2gQ6ife,1,1
DVWWflcNRhZJ,1,1
DhP06yll0mkt,1,1
EJYSWwmFKZ8y,1,1
EnU6pba2Vpgj,1,1
ErYRPzLEtZzY,1,1
FJ8SS5vTBTKt,1,1
FK6xj4TTmVKB,1,1
FmcPKi7QpXMz,1,1
FqDl35OO0BiL,1,1
Frq7otttak1R,1,1
FywqunU6IhL7,1,1
G6NluFY8O4l0,1,1
GsqSeB87eml9,1,1
HXlbIbGFZXkN,1,1
HZya8mSXrk7B,1,1
HvWV97iVUiww,1,1
ID7fg15uaOax,1,1
IKjPckUZrEtl,1,1
Ia8HUk6DTDQM,1,1
Ilfxm9fkKgzV,1,1
IwL8kwzM9wjP,1,1
J9HmCg81TWOU,1,1
Jt3PCKQWhgRr,1,1
K8YLWxxTI3xm,1,1
KPgz4L7y4nGJ,1,1
KcGjjZAwPMbk,1,1
KeMzGyeA8euL,1,1
LAo2bVarbrl1,1,1
LArE9cHsJpuu,1,1
LKL6CTbXjQYV,1,1
LLOkZj75MJfg,1,1
LWHydh3xmGyi,1,1
LhzOE6lf6IQ7,1,1
M7rjooKNuVWI,1,1
MUYCobliuS70,1,1
N07lGzdupw8C,1,1
NLBn70aj7J0z,1,1
NgtmNFGIsuCO,1,1
NlLrDWcvaG3C,1,1
OJTuBqTBoVJQ,1,1
OiqceeNzQx8T,1,1
PsSspdYDcpQo,1,1
Q3CKnWuItrre,1,1
QIrsVQPnMls6,1,1
QJYBThNSsd0H,1,1
R6XZJN3JG0UU,1,1
RRlTP1MIyVXI,1,1
RVpVRZKZhlHG,1,1
Rn8lZQdSyHMd,1,1
S7ouNpubAfSN,1,1
SJJGnEzCbP7E,1,1
SRAGU4a6uHaI,1,1
SkV0mmI2TldX,1,1
T8bZzcV4k1R4,1,1
TAoVzdzQ6grQ,1,1
TFCOKMcccRDF,1,1
TPAbAfZ0zTHw,1,1
U1qUGBjlEANe,1,1
U7C5wfgUu3Nr,1,1
UN8ggIJ6wXMr,1,1
UWdPbaXdA8ET,1,1
UaegZ6zdqCHn,1,1
UhGJ5vrs8d77,1,1
UmT9JhtKjBgO,1,1
VOFmng55XXvj,1,1
VTZS9xICJ6sX,1,1
VWDoz4lgKcRS,1,1
W553tcFa46wk,1,1
WP7BiJsSOaBf,1,1
WWFlQSKpLvRb,1,1
WhJaGzFW1RdF,1,1
Wn2zhhyBwa8k,1,1
WvW2PQNkM0Nj,1,1
XaYYmjaixacI,1,1
XlUySSYNxlFw,1,1
Xn0RccmReOy9,1,1
XykLZqQ5js4T,1,1
YKc0LXIuZo6c,1,1
YN3iE0Wm75yc,1,1
ZgNKH0R225va,1,1
ZjuTsWXujfXd,1,1
a7dkLv5svIFu,1,1
aTIe06uWhcVv,1,1
aa8LT1EMBS5f,1,1
b6YPGKWFkZqa,1,1
b8XUWTKXSIM1,1,1
bNTzdQgex2sd,1,1
bRtHrL51Evar,1,1
bUkzGkcvUfwf,1,1
c7yy8048m8WV,1,1
cIlxDEJZstdL,1,1
cfYBj9wqmC57,1,1
cl69uxwd1kvL,1,1
d8aiYJsasNJD,1,1
d9JNBLIXlPwU,1,1
dgVgzbwuM9OA,1,1
dgokudyRim5n,1,1
dw9cDOf8mFFA,1,1
e9tevLgiDp3b,1,1
eG3B055MuE7y,1,1
ePzaMrwtzv0U,1,1
ehRl35xsEZYS,1,1
ejPIqG9GaRgW,1,1
ewWixeonDW1N,1,1
fBxQqfSoAdyg,1,1
fHvWivrsEsER,1,1
fKKOfy617pQz,1,1
fO3GpSgek6nq,1,1
fhEa4cQyZrVX,1,1
fiGQiKJeZWjD,1,1
gOVv3prPTU2e,1,1
i8eM1jPwXRF0,1,1
iIfMbnjA4r54,1,1
iVWfmk2pwfuO,1,1
isRHm17LVaQv,1,1
j0XffQr1hTjS,1,1
jOmgdNhkVhkp,1,1
jaJhNKy1zslE,1,1
jaUM0UW5CPZa,1,1
jeM2E4IghJFh,1,1
jm392TOcae2N,1,1
k0az1Muja2XR,1,1
k6mUC2XB78Ue,1,1
kN2XHCYZ58NE,1,1
kefOW9iv33ky,1,1
