"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Attitude_1_1","Attitude_2_1","Benefit_1_1","Benefit_2_1","Risk_1_1","Risk_2_1","Q9","Q10","Q11","Q12","Q13","Info_Info_1","Info_Info_2","Info_Info_3","Info_Info_4","Info_Info_5","Info_Info_6","Info_Info_7","Info_Info_8","Info_Info_9","Info_Info_10","Info_Info_11","Info_Info_12","Info_Cred_1","Info_Cred_2","Info_Cred_3","Info_Cred_4","Info_Cred_5","Info_Cred_6","Info_Cred_7","Info_Cred_8","Info_Cred_9","Info_Cred_10","Info_Cred_11","Info_Cred_12","Info_Cred_13","H_Num1","H_Num2","H_Num3","H_Num4","H_Num5","Q22","id","eqtid","health_correct_count","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","averageNumerical","averageNonNumerical","HBM_average_benefit_3","HBM_average_risk_3","Acceptance_1_reversed","Acceptance_2_reversed","HBM_average_acceptance_3"
"2022/11/2 0:14","2022/11/2 0:21",0,"126.28.126.62",100,364,1,"2022/11/2 0:21","R_2dECRmMEDuBgQCd",NA,NA,NA,NA,35.0885,134.7424,"anonymous","JA",3,0,0,4,3,3,5,2,1,2,2,4,4,4,3,2,2,3,5,3,3,5,6,2,5,2,2,5,3,5,3,3,3,5,5,4,5,1,2,5,5,3,3,5,4,2,3,2,2,"","128hTBTSI1wy","fe7495ade47184a0c00172174b0db134d5040a8a",5,3.66666666666667,4.33333333333333,3,3.66666666666667,3.66666666666667,4.66666666666667,4,3.66666666666667,3.76923076923077,3.66666666666667,4,3.33333333333333,4.16666666666667,3.83333333333333,4.08333333333333,3.58333333333333,3,4,5,4,4.5
"2022/11/1 11:03","2022/11/1 11:10",0,"101.143.66.4",100,439,1,"2022/11/1 11:10","R_32JTRf8mRI1Tn6O",NA,NA,NA,NA,34.6886,135.1959,"anonymous","JA",3,0,1,2,2,2,4,2,3,4,1,2,5,5,4,3,3,3,6,2,2,2,5,6,2,2,4,2,6,5,6,2,2,5,1,6,5,1,2,2,1,4,2,4,4,2,3,1,3,"なにがいいたいのかな？って思いました。","17fOZlo7RAOi","fe7495ade47184a0c00172174b0db134d5040a8a",3,2,4.33333333333333,2.66666666666667,5.66666666666667,3,4,1.66666666666667,3.33333333333333,2.84615384615385,3.66666666666667,3.16666666666667,4.16666666666667,3.5,2.5,3.33333333333333,3.33333333333333,1.5,5,3,2,2.5
"2022/11/1 11:19","2022/11/1 11:25",0,"119.241.14.64",100,408,1,"2022/11/1 11:25","R_2YmITgAl4KPrrfl",NA,NA,NA,NA,36.6352,138.1794,"anonymous","JA",3,0,0,4,2,4,4,5,2,2,3,4,2,2,3,3,3,3,5,6,6,6,5,5,4,4,4,3,3,4,3,4,5,4,4,4,4,1,3,4,5,3,4,3,4,2,3,2,2,"","1FN7SXlJV7og","fe7495ade47184a0c00172174b0db134d5040a8a",5,6,4.66666666666667,3.66666666666667,3.33333333333333,4.33333333333333,4,4,3.33333333333333,3.69230769230769,4.41666666666667,5.33333333333333,3.5,4.16666666666667,3.66666666666667,4.75,3.58333333333333,3.5,2,4,4,4
"2022/11/1 21:56","2022/11/1 22:03",0,"106.181.127.208",100,407,1,"2022/11/1 22:03","R_e4FY0ICZTjff5S1",NA,NA,NA,NA,36.4298,139.0693,"anonymous","JA",3,0,0,5,4,5,4,4,2,2,3,3,4,2,3,3,3,2,5,5,5,5,4,4,4,4,4,1,4,3,3,4,4,4,4,4,4,1,4,4,4,3,3,3,4,2,3,2,4,"","1RWbB731oZ06","fe7495ade47184a0c00172174b0db134d5040a8a",4,5,4,3,3.33333333333333,4,4,4,3,3.53846153846154,3.83333333333333,4.5,3.16666666666667,4,3.5,4.25,3.33333333333333,3,3,4,4,4
"2022/11/3 0:04","2022/11/3 0:09",0,"222.15.42.218",100,310,1,"2022/11/3 0:09","R_1LzGMiDnZkNZ5xk",NA,NA,NA,NA,36.5666,139.9125,"anonymous","JA",2,1,1,2,1,1,6,1,4,4,1,2,4,4,4,3,3,4,2,2,3,2,5,3,2,2,2,2,2,4,1,3,4,2,2,2,5,1,2,2,2,4,4,2,4,2,2,2,3,"","1X6HC3SgBHu9","fe7495ade47184a0c00172174b0db134d5040a8a",3,2.33333333333333,3.33333333333333,2,2.33333333333333,3,3,2,3.33333333333333,2.69230769230769,2.5,2.83333333333333,2.16666666666667,3,2.66666666666667,2.91666666666667,2.41666666666667,1.5,4,2,2,2
"2022/11/1 16:21","2022/11/1 16:34",0,"1.75.235.97",100,799,1,"2022/11/1 16:34","R_3KN5JwJvewwpRv8",NA,NA,NA,NA,35.6897,139.6895,"anonymous","JA",3,0,0,5,5,6,3,5,1,1,4,4,4,1,1,3,2,3,5,7,6,6,4,4,5,4,4,1,4,4,2,6,6,2,5,4,5,1,4,5,5,4,4,4,4,2,3,1,3,"","1Z1nsYMaZnyI","fe7495ade47184a0c00172174b0db134d5040a8a",3,6.33333333333333,4.33333333333333,3,3.33333333333333,4.66666666666667,4.66666666666667,4.66666666666667,4,4.23076923076923,4.25,5.33333333333333,3.16666666666667,4.66666666666667,4.33333333333333,5,3.75,4,2.5,5,5,5
"2022/11/1 15:29","2022/11/1 15:40",0,"59.138.127.69",100,602,1,"2022/11/1 15:40","R_1jSLyo65Y0ew43y",NA,NA,NA,NA,35.6435,139.6816,"anonymous","JA",2,1,0,4,6,3,3,4,2,2,3,2,4,2,3,2,2,3,1,5,5,5,3,4,3,3,3,1,3,4,4,4,4,5,5,4,4,1,4,4,2,5,5,5,1,2,3,2,2,"","2BBn7dNwBEvm","fe7495ade47184a0c00172174b0db134d5040a8a",4,5,3.33333333333333,2.33333333333333,3.66666666666667,4.33333333333333,4.33333333333333,3.33333333333333,5,4,3.58333333333333,4.16666666666667,3,4.33333333333333,4.16666666666667,4.25,3.58333333333333,2.5,3,4,4,4
"2022/11/1 18:15","2022/11/1 18:20",0,"49.96.21.101",100,294,1,"2022/11/1 18:20","R_1EiyCHO4BQoOSA4",NA,NA,NA,NA,35.6897,139.6895,"anonymous","JA",3,0,0,5,2,3,5,3,2,2,3,4,4,2,2,4,3,3,5,6,6,5,5,5,5,3,5,5,5,3,3,3,4,2,5,3,3,1,5,5,6,5,6,5,4,3,3,2,2,"","2JBkFxQG2Yvy","fe7495ade47184a0c00172174b0db134d5040a8a",4,5.66666666666667,5,4.33333333333333,3.66666666666667,3,3.66666666666667,5.33333333333333,5.33333333333333,4.07692307692308,4.66666666666667,5.33333333333333,4,3.33333333333333,5.33333333333333,4.33333333333333,4.66666666666667,3.5,3,4,4,4
"2022/11/1 23:04","2022/11/1 23:08",0,"126.209.43.79",100,218,1,"2022/11/1 23:08","R_RnylNBeu7IEFYpb",NA,NA,NA,NA,35.6897,139.6895,"anonymous","JA",0,0,0,1,1,1,1,1,1,1,1,1,5,5,3,2,1,2,1,4,4,3,3,1,3,4,4,3,4,4,4,1,1,1,6,1,7,1,4,6,1,7,7,7,2,2,2,3,3,"","2TZHACX6MsZD","fe7495ade47184a0c00172174b0db134d5040a8a",1,3.66666666666667,2.33333333333333,3.66666666666667,4,1,4.66666666666667,3.66666666666667,7,3.84615384615385,3.41666666666667,3,3.83333333333333,2.83333333333333,5.33333333333333,2.91666666666667,4.58333333333333,1,5,5,5,5
"2022/11/2 8:09","2022/11/2 8:14",0,"61.21.80.43",100,298,1,"2022/11/2 8:14","R_24f4Yvr37XvEVk0",NA,NA,NA,NA,35.4643,139.6262,"anonymous","JA",4,0,0,7,7,6,5,7,1,2,4,5,3,1,1,4,4,4,5,5,6,6,1,1,1,1,6,1,1,1,1,6,6,6,1,2,1,1,1,6,1,1,1,1,4,2,2,1,2,"","2iyiEwK3e62I","fe7495ade47184a0c00172174b0db134d5040a8a",3,5.66666666666667,1,2.66666666666667,1,6,1.33333333333333,2.66666666666667,1,2.61538461538462,2.58333333333333,3.33333333333333,1.83333333333333,3.66666666666667,1.83333333333333,3.5,1.83333333333333,4.5,2,5,4,4.5
