"","age","gender","education","Safeness_1","Safeness_2","Safeness_3","Safeness_4","Effectiveness_1","Effectiveness_2","Effectiveness_3","Effectiveness_4","HBM_average_benefit_3","HBM_average_benefit_4","HBM_average_risk_3","HBM_average_risk_4","HBM_average_acceptance_3","HBM_average_acceptance_4","num_vaccination_2","num_vaccination_3","num_vaccination_4","CT","berlin_correct_count","mean_subjective_numeracy","health_correct_count","numAttitude_average"
"age",1,-0.04527181880044,-0.0750108615422819,0.0449987028644227,-0.033720405223461,0.0312950543665303,-0.0894877374084789,-0.12890612543348,-0.103233977851758,-0.0340487044740603,-0.0861059152530007,-0.0904273877786533,-0.108676740774741,0.0709938504770951,0.127620173764523,-0.0655017749776625,-0.141113647790904,0.172075081586078,-0.116064539597158,-0.117692753678626,0.0405493868706921,-0.0946836722776547,0.0812530193702368,-0.0139108912115212,-0.0995879500439552
"gender",-0.04527181880044,1,-0.147282017751887,-0.128422982496182,-0.0125605532518324,-0.0238277373603747,-0.0594714526649042,-0.0598189059812023,0.0103919758827029,-0.0443195064101357,-0.030916484767827,-0.0672853882171331,-0.0493415299921647,0.162161276600073,0.183329977563518,0.0127368563294347,0.134270880695562,-0.0604974006965795,0.0405250999521533,0.0354509375589002,0.031424893023684,-0.183919679793542,-0.0106019574975822,-0.0703201783655551,-0.0691305797424609
"education",-0.0750108615422819,-0.147282017751887,1,0.0680707999250033,0.0117101722308997,-0.0188697368133482,0.00795001917956003,-0.0297587917773697,-0.040772071372843,-0.0459799451929037,-0.0213970435877981,-0.0193828165904024,0.0217101784489884,0.0214278796412268,-0.0076884067110862,-0.0815929271143948,-0.00695152111488559,-0.00305508529267993,-0.00742323794372157,0.00693287050320409,0.177777851452111,0.208006607793972,0.0166394602403094,0.151553296381111,0.137070612863816
"Safeness_1",0.0449987028644227,-0.128422982496182,0.0680707999250033,1,0.452558414014122,0.447197230357773,0.494515831311974,0.544249578152339,0.42336577288887,0.417727585395163,0.422373619052168,0.531310605594373,0.450913737289931,-0.443156004637926,-0.465738383283412,0.337343100914399,0.19460692283211,-0.293049684311356,0.308523656481776,0.331760299554629,-0.0414948254638494,0.0845279542972079,0.0573134986802218,0.130322843694942,-0.00283603610088644
"Safeness_2",-0.033720405223461,-0.0125605532518324,0.0117101722308997,0.452558414014122,1,0.558151700205385,0.579656220786671,0.557984067125976,0.629384274411966,0.564399473519925,0.570202059673023,0.610389987521541,0.534763617242783,-0.501965481726397,-0.468432757692516,0.34041518373107,0.266259722367348,-0.452755380901613,0.48386060937424,0.492244708516961,-0.0221259834705187,0.0864984123622572,0.10845528768387,0.0896813099667515,0.121246164052572
"Safeness_3",0.0312950543665303,-0.0238277373603747,-0.0188697368133482,0.447197230357773,0.558151700205385,1,0.616172659551587,0.479724794141879,0.541409455976984,0.608345575935647,0.628086538160272,0.696141497697711,0.50767511508434,-0.471349466598836,-0.481514097602666,0.409801798647806,0.336161067751012,-0.404499124721299,0.483786257514195,0.513098663866059,-0.0617776293992366,0.112096610336584,0.0391918697870228,0.0709473901238536,0.133755575040256
"Safeness_4",-0.0894877374084789,-0.0594714526649042,0.00795001917956003,0.494515831311974,0.579656220786671,0.616172659551587,1,0.53617360890938,0.564574826988963,0.602199861478533,0.647042293094349,0.650857620879726,0.624108213390142,-0.560185122981663,-0.700986675843405,0.451865949261707,0.323650457578029,-0.521307434402547,0.583174622132825,0.598575244548425,0.0289597962129577,0.214609104233185,0.0778086373578302,0.116423515115855,0.135896849094615
"Effectiveness_1",-0.12890612543348,-0.0598189059812023,-0.0297587917773697,0.544249578152339,0.557984067125976,0.479724794141879,0.53617360890938,1,0.623013820999041,0.658382983425987,0.66949209491511,0.627220689567361,0.648280895960886,-0.534632545379647,-0.540078538146287,0.399389709103409,0.278743565413037,-0.440428630007988,0.486239394176298,0.498900716618933,-0.0705627459187868,0.0969135776494193,0.102602270325576,0.107406311523738,0.126493933263275
"Effectiveness_2",-0.103233977851758,0.0103919758827029,-0.040772071372843,0.42336577288887,0.629384274411966,0.541409455976984,0.564574826988963,0.623013820999041,1,0.697244265290164,0.727055496337362,0.674070984036063,0.628999975071864,-0.5096111458407,-0.514915495530739,0.503144711461235,0.341631374255714,-0.463147803858292,0.521256292256227,0.534758336602589,0.0296238434548193,0.0927266935359592,0.12997120116746,0.117634075306745,0.270540476752073
"Effectiveness_3",-0.0340487044740603,-0.0443195064101357,-0.0459799451929037,0.417727585395163,0.564399473519925,0.608345575935647,0.602199861478533,0.658382983425987,0.697244265290164,1,0.813515691623619,0.838269392768516,0.700899592833402,-0.636994101484234,-0.590063207138496,0.583151001584198,0.445670445512396,-0.475911139324494,0.561011774626855,0.573642281467,0.023477517116605,0.0842479623794749,0.158663720368668,0.0305940283189471,0.18949555413773
"Effectiveness_4",-0.0861059152530007,-0.030916484767827,-0.0213970435877981,0.422373619052168,0.570202059673023,0.628086538160272,0.647042293094349,0.66949209491511,0.727055496337362,0.813515691623619,1,0.776827709983884,0.79866553143763,-0.659480450642185,-0.653571366324695,0.568880160813066,0.456869402831032,-0.535337622792789,0.602822108834332,0.617984668334688,-0.105608865265043,0.0730873993667113,0.102408359316697,0.0753569933997709,0.199898028223657
"HBM_average_benefit_3",-0.0904273877786533,-0.0672853882171331,-0.0193828165904024,0.531310605594373,0.610389987521541,0.696141497697711,0.650857620879726,0.627220689567361,0.674070984036063,0.838269392768516,0.776827709983884,1,0.723202747318904,-0.662658796027778,-0.62378339923068,0.562058594038609,0.440121502457692,-0.540885958691897,0.601262168825084,0.628463267700294,-0.0451679454933416,0.085027955242897,0.114975449777212,0.129762443470668,0.177790785840222
"HBM_average_benefit_4",-0.108676740774741,-0.0493415299921647,0.0217101784489884,0.450913737289931,0.534763617242783,0.50767511508434,0.624108213390142,0.648280895960886,0.628999975071864,0.700899592833402,0.79866553143763,0.723202747318904,1,-0.637121763381824,-0.656902809020466,0.511335540569675,0.396988322698289,-0.500725823597757,0.531788060395981,0.564644295907004,-0.0362444161221304,0.131679333958277,0.126204452760633,0.0530034818041341,0.234863940736328
"HBM_average_risk_3",0.0709938504770951,0.162161276600073,0.0214278796412268,-0.443156004637926,-0.501965481726397,-0.471349466598836,-0.560185122981663,-0.534632545379647,-0.5096111458407,-0.636994101484234,-0.659480450642185,-0.662658796027778,-0.637121763381824,1,0.748962147730989,-0.530978310664863,-0.364741906038488,0.447167995462967,-0.500002809194462,-0.493716532719305,0.138499579729896,-0.124764594919311,-0.122633834250095,-0.0555479358991006,-0.0737403794648067
"HBM_average_risk_4",0.127620173764523,0.183329977563518,-0.0076884067110862,-0.465738383283412,-0.468432757692516,-0.481514097602666,-0.700986675843405,-0.540078538146287,-0.514915495530739,-0.590063207138496,-0.653571366324695,-0.62378339923068,-0.656902809020466,0.748962147730989,1,-0.480835857966765,-0.395253773437949,0.477444087153758,-0.50560749645849,-0.528721029522832,0.0711834114199965,-0.230631319799658,-0.100901143018965,-0.0845310429385139,-0.119477207393073
"HBM_average_acceptance_3",-0.0655017749776625,0.0127368563294347,-0.0815929271143948,0.337343100914399,0.34041518373107,0.409801798647806,0.451865949261707,0.399389709103409,0.503144711461235,0.583151001584198,0.568880160813066,0.562058594038609,0.511335540569675,-0.530978310664863,-0.480835857966765,1,0.621051483026222,-0.396516855263321,0.484543866843081,0.505822940656617,-0.0462670578354796,0.101936805760839,0.0430806614363518,-0.0278110442301723,0.144873061953172
